title,rec
Kansas Saloon Smashers,"['The Glass Castle', 'The Table', 'Over the Hedge', 'Big Money Rustlas', 'Tweetie Pie', 'His Majesty, the Scarecrow of Oz', 'The Wonderful Wizard of Oz', 'The Jewel', 'Shack Out on 101', 'Sinbad of the Seven Seas', 'Ice Cream', 'The Town Across the River', 'Dance with Devils: Fortuna', 'Little Red Riding Hood', 'Uzhaikkum Karangal', 'Royal Bengal Rahashya', 'Katha, Samvidhanam Kunchakko (കഥ, സംവിധാനം കുഞ്ചാക്കോ)', 'Shiawase no Pan', 'One Piece Film: Gold', 'White Tiger', 'Automaton Transfusion', 'Bedeviled Rabbit', 'My Learned Friend', 'The Mouse That Roared', 'Dragon Ball Z: Fusion Reborn', 'The Milagro Beanfield War', 'Old Mother Riley Overseas', 'Resident Evil: Retribution', 'Booby Dupes', 'Jackson Durai', 'Dharmam Enge', 'Warlock', 'Knute Rockne, All American', 'A Ticklish Affair', 'Quick Gun Murugun', ""Sufferin' Cats!"", 'The Two Mouseketeers', 'Doraemon: Nobita to Kiseki no Shima ~Animal Adventure~', 'Passion Fish', 'Bagdad Café', 'The Naked Man', 'Aabra Ka Daabra', ""Dragon Ball Z: Cooler's Revenge"", 'A Matter of Loaf and Death', 'Wallace & Gromit: The Curse of the Were-Rabbit', 'Orders Are Orders', 'Sword of the Valiant', 'Winnie the Pooh and the Honey Tree', 'Telephone Operator', 'Bomb in the High Street']"
Love by the Light of the Moon,"['Heeralal Pannalal', 'Black Widow', 'Kahani Kismat Ki', 'Melody and Romance', 'Undiscovered', 'Prey for Rock & Roll', 'Paathasala', 'Angels in Stardust', 'Manchali', 'Out of This World', 'Gents Without Cents', 'Gonks Go Beat', 'Black Roses', 'The Golden Link', 'Mythri', 'Lucky Boy', 'Inteha', 'When Larry Met Mary', 'The Alley Cat (Le Matou)', 'Anbe Aaruyire', 'Aane Pataaki', 'Life at the Top', 'Azhiyatha Kolangal', 'Jai Prakash', 'Sukumarudu', 'Always Leave Them Laughing', 'The Idolmaster Movie: Beyond the Brilliant Future!', 'Talk of a Million', 'Madhu', 'The Glass Castle', 'Broadway Hostess', 'Sharara', 'BLEACH the Movie: Memories of Nobody', 'Rettai Vaalu', 'Beat Street', 'Dogtown', 'The Joker Is Wild', 'Andrew Lau, Alan Mak', 'Kalyana Vaibhogam', 'Up Jumped a Swagman', ""Don't Look Up"", 'Strawberry Shortcake: The Sweet Dreams Movie', 'The Wannabes', 'Josh and S.A.M.', 'Jai Maharashtra Dhaba Bhatinda', 'New York, New York', 'Mundhinam Paartheney', ""Let's Make Music"", 'Souls for Sale', 'Mr. Saturday Night']"
